[9.921420425991528],[9.919825513847172]
X,Y
[10.10046986839734],[10.100589526817203]
X,Y
[10.280847509857267],[10.279468943364918]
X,Y
[10.483846558083314],[10.483715676702559]
X,Y
[10.661430755397305],[10.660812213085592]
X,Y
[10.844693129940424],[10.845175930298865]
X,Y
[11.026490280753933],[11.025872160680592]
X,Y
[11.205493995803408],[11.204785502515733]
X,Y
[11.397182286367752],[11.396348604001105]
X,Y
[11.576185984886251],[11.575261955149472]
X,Y
[11.753770127834287],[11.752358519472182]
X,Y
[11.945458388887346],[11.94392163399607]
X,Y
[12.124507728905883],[12.124685696326196]
X,Y
[12.303511390811764],[12.303599067032337]
X,Y
[12.503671230748296],[12.504212266765535]
X,Y
[12.686887843185104],[12.68672533147037]
X,Y
[12.86731102084741],[12.867455509491265]
X,Y
[13.060373098996934],[13.058984750881791]
X,Y
[13.24363535165321],[13.243348526768386]
X,Y
[13.440956044825725],[13.440328164026141]
X,Y
[13.62563782359939],[13.626508744433522]
X,Y
[13.803221864392981],[13.803605355322361]
X,Y
[14.024492128985003],[14.024067727848887]
X,Y
[14.203495695372112],[14.202981144189835]
X,Y
[14.38107970735291],[14.380077769048512]
X,Y
